TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1488160865,"North Station","2161","Newburyport",1488165600,0,5,"On Time"
1488160865,"North Station","2315","Lowell",1488169800,0,2,"On Time"
1488160865,"North Station","2113","Rockport",1488169800,0,,"On Time"
1488160865,"North Station","2413","Wachusett",1488169800,0,,"On Time"
1488160865,"North Station","2211","Haverhill",1488169800,0,,"On Time"
1488160865,"South Station","2717","Forge Park / 495",1488162000,0,,"On Time"
1488160865,"South Station","2781","Readville",1488163800,0,1,"On Time"
1488160865,"South Station","2015","Middleboro/Lakeville",1488166500,0,6,"On Time"
1488160865,"South Station","2517","Worcester / Union Station",1488166800,0,,"On Time"
1488160865,"South Station","2041","Kingston",1488167100,0,,"On Time"
1488160865,"South Station","2783","Readville",1488167400,0,,"On Time"
1488160865,"South Station","2085","Greenbush",1488167700,0,,"On Time"
1488160865,"South Station","2817","Providence",1488168600,0,,"On Time"
1488160865,"South Station","2719","Forge Park / 495",1488169200,0,,"On Time"
1488161365,"Porter Square","2413","Wachusett",1488169800,0,1,"On Time"
